Latitude,Longitude,Altitude,Direction,Slope
-26.276093,27.947033,1657.0,3.22,0.01575
-26.273605,27.947322,1654.0,5.95,-0.01079
-26.271851,27.947851,1649.0,15.13,-0.02475
-26.270023,27.9487,1652.0,22.61,0.01362
-26.268427,27.949785,1661.0,31.37,0.0433
-26.266727,27.951349,1676.0,39.52,0.06121
-26.265482,27.952904,1690.0,48.24,0.06735
-26.264367,27.954731,1695.0,55.76,0.02269
-26.263401,27.956501,1698.0,58.68,0.01452
-26.262129,27.958569,1693.0,55.55,-0.02
-26.260657,27.960283,1685.0,46.24,-0.03381
-26.258935,27.96173,1679.0,37.0,-0.02503
-26.257281,27.962729,1696.0,28.44,0.08128
-26.255548,27.963448,1704.0,20.41,0.03891
-26.253749,27.963896,1707.0,12.59,0.01464
-26.2519,27.964104,1708.0,5.76,0.00484
-26.249599,27.964061,1706.0,359.04,-0.00782
-26.247535,27.963738,1702.0,352.01,-0.01726
-26.245747,27.963254,1698.0,346.35,-0.01955
-26.243705,27.962598,1692.0,343.93,-0.02539
-26.238498,27.961003,1682.0,344.64,-0.01665
-26.236025,27.960432,1682.0,348.3,0.0
-26.233428,27.960285,1685.0,357.09,0.01038
-26.231145,27.960578,1695.0,6.57,0.03913
-26.228263,27.961205,1694.0,11.04,-0.00306
-26.226029,27.961415,1692.0,4.82,-0.00802
-26.223831,27.961206,1687.0,355.12,-0.02038
-26.221769,27.960702,1682.0,347.63,-0.0213
-26.217551,27.959441,1665.0,344.99,-0.03501
-26.215277,27.958755,1658.0,344.86,-0.02672
-26.212676,27.957956,1652.0,344.59,-0.02
-26.209736,27.957122,1677.0,345.72,0.07411
-26.207907,27.956564,1683.0,344.69,0.02846
-26.20585,27.955927,1670.0,344.47,-0.05476
-26.203617,27.955069,1661.0,340.98,-0.03427
-26.200952,27.953809,1659.0,337.01,-0.00621
-26.198181,27.952389,1650.0,335.31,-0.02654
-26.195287,27.950901,1653.0,335.23,0.00847
-26.193125,27.949802,1651.0,335.48,-0.00757
-26.190752,27.948572,1655.0,335.06,0.01375
-26.189,27.947707,1655.0,336.1,0.0
-26.185718,27.946028,1667.0,335.34,0.02988
